------------------省级复核，每天地区新增和 == 省级新增-----------------
北京,2月2日,地区新增核减累加值为-6,省级新增0
海南,2月4日,地区新增核减累加值为0,省级新增-1
河北,2月6日,地区新增确诊病例累加值为13,省级新增14
宁夏,2月6日,地区新增确诊病例累加值为0,省级新增3
海南,2月7日,地区新增确诊病例累加值为0,省级新增12
黑龙江,2月7日,地区新增确诊病例累加值为18,省级新增19
黑龙江,2月7日,地区新增核减累加值为-1,省级新增0
内蒙古,2月7日,地区新增确诊病例累加值为4,省级新增2
宁夏,2月7日,地区新增治愈出院数累加值为2,省级新增0
山东,2月7日,地区新增确诊病例累加值为28,省级新增30
------------------省级复核，省级所有日期累计值 == 卫健委发布的累计值----------------
上海,日期:1月20日,确诊累计值2,卫健委累计值0
上海,日期:1月21日,确诊累计值7,卫健委累计值0
上海,日期:1月22日,确诊累计值7,卫健委累计值0
上海,日期:1月23日,确诊累计值4,卫健委累计值0
上海,日期:1月24日,确诊累计值13,卫健委累计值0
上海,日期:1月24日,出院累计值1,卫健委累计值0
上海,日期:1月25日,确诊累计值7,卫健委累计值0
上海,日期:1月25日,死亡累计值1,卫健委累计值0
上海,日期:1月26日,确诊累计值13,卫健委累计值0
上海,日期:1月27日,确诊累计值13,卫健委累计值0
上海,日期:1月27日,出院累计值2,卫健委累计值0
上海,日期:1月28日,确诊累计值14,卫健委累计值0
上海,日期:1月28日,出院累计值1,卫健委累计值0
上海,日期:1月29日,确诊累计值21,卫健委累计值0
上海,日期:1月29日,出院累计值1,卫健委累计值0
上海,日期:1月30日,确诊累计值27,卫健委累计值0
上海,日期:1月31日,确诊累计值25,卫健委累计值0
上海,日期:1月31日,出院累计值4,卫健委累计值0
上海,日期:2月1日,确诊累计值24,卫健委累计值0
上海,日期:2月1日,出院累计值1,卫健委累计值0
上海,日期:2月2日,确诊累计值16,卫健委累计值0
上海,日期:2月3日,确诊累计值15,卫健委累计值0
上海,日期:2月4日,确诊累计值25,卫健委累计值0
上海,日期:2月4日,出院累计值2,卫健委累计值0
上海,日期:2月5日,确诊累计值21,卫健委累计值0
上海,日期:2月5日,出院累计值3,卫健委累计值0
上海,日期:2月6日,确诊累计值15,卫健委累计值0
上海,日期:2月7日,确诊累计值12,卫健委累计值0
